id,title,description,product_type,link,image_link,price
"365885","Easysea Quick-release with Fidlock mounts for Jake Starter Kit","The magnetic Fidlock mounts: they secure Jake to lifelines (&Oslash; 6&ndash;13 mm) and tubes (&Oslash; 20&ndash;30 mm), always within reach.&bull; The quick-release interface on both pole ends lets you switch function in seconds.&bull; Marine-grade 6082 aluminium and reinforced technopolymers: strength and lightness in the harshest environment.&bull; With magnetic Fidlock mounts on lifelines and rails, your Jake is stowed, secure and ready to go.&bull; Interchangeable quick-release heads","Anchor and Mooring > Hooks > Hook Fitting and Accessories","https://www.francobordo.com/easysea-sistema-de-liberacion-rapida-con-soportes-fidlock-para-el-jake-starter-k-p-365885.html","https://www.francobordo.com/images/productos/sistema-de-liberacion-rapida-con-soportes-fidlock-para-el-jake-starter-kit-7-365885.jpeg","49,00 EUR"
"365884","Easysea Telescopic Pole","The Jake system telescopic pole: 6082 aluminium, 107 to 193 cm, quick-release on both ends.&bull; Material: aluminium 6082 / Derlin ST 100&bull; Weight: 845 g Click here for more information.","Anchor and Mooring > Hooks > Telescopic","https://www.francobordo.com/easysea-mango-telescopico-p-365884.html","https://www.francobordo.com/images/productos/easysea-bichero-telescopico-1-365884.jpeg","99,00 EUR"
"365883","MercuryF 6 MMEF6ELEFI  Outboard Motor – Long Shaft","Mercury FourStroke outboards are built to reach the unreachable. To make long journeys easier. FourStroke outboards let you enjoy the water your way and reach places you would not dare to explore with other engines.They are reliable, compact, lightweight, easy to install and operate, while delivering quick acceleration and impressive speed.The only thing missing is a destination.Intuitive and innovative features &bull; Electronic Fuel Injection (EFI)From the moment the engine starts until you release the throttle, EFI technology, available on 8 and 20 HP outboards, delivers instant power. It provides reliable starting in all weather conditions, smooth and efficient acceleration, and maximum enjoyment. &bull; Ambidextrous tiller handleWith a wide range of adjustments, easy-to-reach controls and the flexibility to configure it for left- or right-handed operation &mdash;on selected models&m...","Motors > Gasoline Outboard Motors > Mercury Motors","https://www.francobordo.com/motor-fueraborda-mercury-f-6-mmef6elefi-eje-largo-p-365883.html","https://www.francobordo.com/images/productos/motor-fueraborda-mercury-f-6-mefi-eje-corto-1-365883.jpeg","3.024,00 EUR"
"365882","Mercury F 6 MEFI Outboard Motor – Short Shaft","Mercury FourStroke outboards are built to reach the unreachable. To make long journeys easier. FourStroke outboards let you enjoy the water your way and reach places you would not dare to explore with other engines.They are reliable, compact, lightweight, easy to install and operate, while delivering quick acceleration and impressive speed.The only thing missing is a destination.Intuitive and innovative features &bull; Electronic Fuel Injection (EFI)From the moment the engine starts until you release the throttle, EFI technology, available on 8 and 20 HP outboards, delivers instant power. It provides reliable starting in all weather conditions, smooth and efficient acceleration, and maximum enjoyment. &bull; Ambidextrous tiller handleWith a wide range of adjustments, easy-to-reach controls and the flexibility to configure it for left- or right-handed operation &mdash;on selected models&m...","Motors > Gasoline Outboard Motors > Mercury Motors","https://www.francobordo.com/motor-fueraborda-mercury-f-6-mefi-eje-corto-p-365882.html","https://www.francobordo.com/images/productos/motor-fueraborda-mercury-f-6-mefi-eje-corto-1-365882.jpeg","2.354,80 EUR"
"365881","Mercury F 6 MLEFI Outboard Motor – Long Shaft","Mercury FourStroke outboards are built to reach the unreachable. To make long journeys easier. FourStroke outboards let you enjoy the water your way and reach places you would not dare to explore with other engines.They are reliable, compact, lightweight, easy to install and operate, while delivering quick acceleration and impressive speed.The only thing missing is a destination.Intuitive and innovative features &bull; Electronic Fuel Injection (EFI)From the moment the engine starts until you release the throttle, EFI technology, available on 8 and 20 HP outboards, delivers instant power. It provides reliable starting in all weather conditions, smooth and efficient acceleration, and maximum enjoyment. &bull; Ambidextrous tiller handleWith a wide range of adjustments, easy-to-reach controls and the flexibility to configure it for left- or right-handed operation &mdash;on selected models&m...","Motors > Gasoline Outboard Motors > Mercury Motors","https://www.francobordo.com/motor-fueraborda-mercury-f-6-mlefi-eje-largo-p-365881.html","https://www.francobordo.com/images/productos/motor-fueraborda-mercury-f-6-mefi-eje-corto-1-365881.jpeg","2.354,80 EUR"
"365880","Lecomble & Schmitt Pump 105 CT + EMB","Pump 105 CT + EMBHydraulic pump for inboard motors. Variants and specifications Reference Model Weight (kg) 2200106 105 CT + EMB 16.63 2200130 150 CT + EMB (LS 840) 15.86 2200135 200 CT 17.02","Nautical Equipment > Steering Wheel and Accesories > Lecomble & Schmitt","https://www.francobordo.com/lecomble-y-schmitt-bomba-105-ct-emb-p-365880.html","https://www.francobordo.com/images/productos/lecomble-schmitt-bomba-105-ct-emb-365880.jpg","3.783,15 EUR"
"365879","Lecomble & Schmitt EV2 group - 12V","EV2 group - 12VNon-reversible hydraulic power packs with adjustable 12 or 24 volt flow for pleasure, fishing and service boats, fitted with an electro-distributor and an oil tank. The flow rate is adjusted by means of a screw which enables the port/starboard displacement time to be fine-tuned. Variants and specifications Reference Model Weight (kg) 2200409 2 groups - 12V 9.22 2200980 2 groups - 24V 1 2200844 3 groups - 12V 11.82 2200981 3 groups - 24V 9.76","Nautical Equipment > Steering Wheel and Accesories > Lecomble & Schmitt","https://www.francobordo.com/lecomble-y-schmitt-grupo-ev2-12v-p-365879.html","https://www.francobordo.com/images/productos/lecomble-schmitt-grupo-ev2-12v-365879.jpg","2.460,35 EUR"
"365878","Lecomble & Schmitt Pump gasket kit 20 CT HB(BEFORE 03-04-2007)","Pump gasket kit 20 CT HB(BEFORE 03-04-2007)Lecomble & Schmitt hydraulic steering spares are genuine OEM components designed to maintain the performance, safety, and reliability of your marine steering system. Manufactured to original specifications, these parts provide precise fitment and dependable operation, helping to ensure smooth steering response and long-term durability in demanding marine environments. Choosing OEM parts offers the best value for money by reducing compatibility concerns, minimising downtime, and providing confidence that your steering system continues to perform as intended.Variants and specificationsReferenceModelWeight (kg)12021020 CT HB(AVANT LE 03-04-2007)0.0112006009 CT HB112022636/30 HB CAR1","VDM New > Engine Environment","https://www.francobordo.com/lecomble-y-schmitt-kit-de-juntas-para-bomba-20-ct-hb-antes-del-03-04-2007-p-365878.html","https://www.francobordo.com/images/productos/lecomble-schmitt-kit-de-juntas-para-bomba-20-ct-hb-365878.jpg","74,65 EUR"
"365877","Lecomble & Schmitt Quick-vent ø5","Quick-vent ø5Lecomble & Schmitt hydraulic steering spares are genuine OEM components designed to maintain the performance, safety, and reliability of your marine steering system. Manufactured to original specifications, these parts provide precise fitment and dependable operation, helping to ensure smooth steering response and long-term durability in demanding marine environments. Choosing OEM parts offers the best value for money by reducing compatibility concerns, minimising downtime, and providing confidence that your steering system continues to perform as intended.Variants and specificationsReferenceModel1205639fast ø51200260VHM","VDM New > Engine Environment","https://www.francobordo.com/lecomble-y-schmitt-purga-rapida-5-p-365877.html","https://www.francobordo.com/images/productos/lecomble-schmitt-purga-r-pida-5-365877.jpg","7,30 EUR"
"365876","Lecomble & Schmitt Pump 70 CT + CAR","Pump 70 CT + CARHydraulic pump for inboard motors.Variants and specificationsReferenceModelWeight (kg)220008870 CT + CAR6.5220019470 CT + EMB5220048990 CT + CAR6.66220049490 CT + EMB6.47","VDM New > Engine Environment","https://www.francobordo.com/lecomble-y-schmitt-bomba-70-ct-car-p-365876.html","https://www.francobordo.com/images/productos/lecomble-schmitt-bomba-70-ct-car-365876.jpg","1.339,75 EUR"
"365875","Lecomble & Schmitt VHM 80 DT cylinder","VHM 80 DT cylinderHydraulic steering gear perfectly suited to the needs of users of inboard powerboats for professional fishing, service, as well as large pleasure boats and large monohull or multihull sailboats. Variants and specifications Reference Model Weight (kg) 2202700 80 DT 31 2202699 90 DT - APD 30 2202840 90 DT C400 42","Nautical Equipment > Steering Wheel and Accesories > Lecomble & Schmitt","https://www.francobordo.com/lecomble-y-schmitt-cilindro-hidraulico-vhm-dt-apd-p-365875.html","https://www.francobordo.com/images/productos/lecomble-schmitt-cilindro-hidr-ulico-vhm-80-dt-365875.jpg","4.019,00 EUR"
"365874","Lecomble & Schmitt Tee fitting set - hose - ø6mm","Tee fitting set - hose - ø6mmHydraulic fittings.Variants and specificationsReferenceModelWeight (kg)22008096mm0.1322022778mm0.06","VDM New > Engine Environment","https://www.francobordo.com/lecomble-y-schmitt-kit-de-racores-en-t-manguera-flexible-6mm-p-365874.html","https://www.francobordo.com/images/productos/lecomble-schmitt-kit-de-racores-en-t-manguera-flex-365874.jpg","51,05 EUR"
"365873","Lecomble & Schmitt LS 80 PRO steering kit - 10m hose","LS 80 PRO steering kit - 10m hoseMontage frontal compact pour moteurs hors-bord jusqu'&agrave; 80 ch.Babord - tribord : 3.5 toursCourse du v&eacute;rin : 206 mmComposition du kit :- Pompe 20 HB CAR - 20 cm3/tour - LECO2200804- V&eacute;rin VHM EX 80HP - 70cm3 - LECO2203315- Jeu de raccords coud&eacute;s pompe &oslash;6 mm - LECO2201989- 10m de flexible &oslash;6 - LECO1204268- Kit de remplissage - LECO2203853 Variants and specifications Reference Model Weight (kg) 2203348 10 m 6.33 2203564 40-60 hp 6.42","Nautical Equipment > Steering Wheel and Accesories > Lecomble & Schmitt","https://www.francobordo.com/lecomble-y-schmitt-kit-de-direccion-ls-80-pro-flexible-10-m-p-365873.html","https://www.francobordo.com/images/productos/lecomble-schmitt-kit-de-direcci-n-ls-80-pro-flexib-365873.jpg","948,75 EUR"
"365872","Lecomble & Schmitt Straight connector set - 1/4 - hose - ø8mm","Straight connector set - 1/4 - hose - ø8mmHydraulic fittings.Variants and specificationsReferenceModelWeight (kg)2200123Straight connector set - 1/4 - hose - ø8mm0.22200068Set of straight fittings - hose - 1/4 BSPP - Ø10mm0.32200038Set of straight fittings - 1/4" - hose - ø8mm - Stainless steel0.2","VDM New > Engine Environment","https://www.francobordo.com/lecomble-y-schmitt-conjunto-de-racores-rectos-1-4-manguera-flexible-8mm-p-365872.html","https://www.francobordo.com/images/productos/lecomble-schmitt-conjunto-de-racores-rectos-1-4-ma-365872.jpg","56,40 EUR"
"365871","Lecomble & Schmitt Elbow fitting set - 1/4 BSPP - Ø8mm","Elbow fitting set - 1/4 BSPP - &Oslash;8mmHydraulic fittings. Variants and specifications Reference Model Weight (kg) 2200022 1/4 BSPP - &Oslash;8mm 0.24 2200023 Tuyau - 1/4 BSPP - &oslash;8mm 0.22","Nautical Equipment > Steering Wheel and Accesories > Lecomble & Schmitt","https://www.francobordo.com/lecomble-y-schmitt-conjunto-de-accesorios-acodados-manguera-flexible-1-4-bsp-p-365871.html","https://www.francobordo.com/images/productos/lecomble-schmitt-conjunto-de-accesorios-acodados-m-365871.jpg","56,20 EUR"
"365870","Format antiskid rectangular doormat, 40x68 cm","In expanded polyurethane closed cells with soft coloured velour layer. Weather-resistant. Specifications Reference Theme cm 23.909.00 Compass rose 40x68 23.909.01 Gran Pavese 40x68 23.909.02 Lighthouse 40x68 23.909.03 Dolphins 40x68 23.909.04 Wind 40x68","On Board Comfort > Clothing for Bedding, Bath and T > Mats","https://www.francobordo.com/alfombrilla-antideslizante-rectangular-de-doormat-40x68-cm-p-365870.html","https://www.francobordo.com/images/productos/formato-antideslizante-rectangular-de-doormat-40x68-cm-s1795-365870.jpg","28,10 EUR"
"365869","Door mat","Doormate made of hand-braided nylon rope Specifications Reference cm 23.907.22 47x23 23.907.21 60x32 23.907.20 72x37","Outdoor > Tents > Carpets and Footprint > Carpet","https://www.francobordo.com/alfombra-de-entrada-p-365869.html","https://www.francobordo.com/images/productos/alfombra-de-entrada-1-365869.jpeg","49,90 EUR"
"365867","Watertight bags","Made of polyester fabric coated with yellow PVC. Items customizable upon request. Specifications Reference mm Capacity l 23.765.01 250x500 8 23.765.02 300x600 13 23.765.03 400x700 25","Personal Equipment > Bags and Waterproof > Waterproof Bags > Until 10 litres","https://www.francobordo.com/bolsas-estancas-p-365867.html","https://www.francobordo.com/images/productos/bolsas-estancas-4-365867.jpeg","13,05 EUR"
"365866","Folder","WATERTIGHT object-holder made of clear PVC with special closure. Specifications Reference mm 23.764.01 127x178 23.764.02 178x254 23.764.03 267x343","Personal Equipment > Bags and Waterproof > Waterproof Cover","https://www.francobordo.com/carpeta-p-365866.html","https://www.francobordo.com/images/productos/carpeta-1-365866.jpeg","4,55 EUR"
"365865","AMPHIBIOUS Cargo watertight bag that turns into a backpack","Sturdy watertight bag with flat bottom. It turns into a large backpack by means of padded shoulder straps (optional). Quick Proof fastening, ultra fix system to hook snap-hooks or other devices. SpecificationsReferenceCapacity lColourCOLORE dropLIFEJacket COLORcmweight grams23.523.9023.523.01100Black5337x77x37165023.523.03100grey5337x77x371650","Oscualti Nuevos","https://www.francobordo.com/bolsa-inmersible-de-carga-estanca-que-se-convierte-en-mochila-p-365865.html","https://www.francobordo.com/images/productos/bolsa-inmersible-de-carga-estanca-que-se-convierte-en-mochila-s25082-365865.jpg","25,90 EUR"
"365864","SCANSTRUT ROKK Mini universal clamp for electronic devices","Compact and multi-adjustable mounting system for smart phones, tablets, fish finders, digital video cameras, VHF and GPS. The body matches different top plates and clamps for multi-position mount. Designed for marine applications. SpecificationsReferenceDescriptionMatch to23.404.03Top plate for flat mounting[23.404.00] + choice of clamps23.404.04Adhesive top plate for flat mounting[23.404.00] + choice of clamps23.404.05Top plate for mounting on 19- to 34-mm Ø rails[23.404.00] + choice of clamps23.404.06Suction cup top plate[23.404.00] + choice of clamps23.404.10Adjustable arm clamp for smartphones, GPS systems 45 to 95-mm devices[23.404.00] + choice of top plates23.404.11Adjustable arm clamp for tablets and 125- to 220-mm devices[23.404.00] + choice of top plates23.404.00Adjustable body to be fastened on a top plate and clampChoice of top plates and clamps","Oscualti Nuevos","https://www.francobordo.com/abrazadera-universal-scanstrut-rokk-mini-para-dispositivos-electronicos-p-365864.html","https://www.francobordo.com/images/productos/abrazadera-universal-scanstrut-rokk-mini-para-dispositivos-electronicos-s36119-365864.jpg","28,90 EUR"
"365863","COLUMBUS stay cover","600 DEN UV-resistant fabric, soft foam lining. Double hook&look fastener: one inside to wrap the stay, and one outside to fasten the cover. Made of 1680 cordura. SpecificationsReferencemmColour23.307.01Ø64x600blue23.307.02Ø64x1000blue","Oscualti Nuevos","https://www.francobordo.com/cuberta-de-opuelitos-columbia-p-365863.html","https://www.francobordo.com/images/productos/cuberta-de-opuelitos-columbia-s39016-365863.jpg","17,95 EUR"
"365862","COLUMBUS protection for stay terminals with turnbuckles","Made of 1680 cordura. SpecificationsReferencemmColour23.205.01370blue23.205.02550blue","Oscualti Nuevos","https://www.francobordo.com/proteccion-columbus-para-terminales-de-amarre-con-tensor-p-365862.html","https://www.francobordo.com/images/productos/proteccion-columbus-para-terminales-de-amarre-con-tensor-s38736-365862.jpg","15,95 EUR"
"365861","COLUMBUS rope bags","For rope stowage. Mould-proof, resistant to sea water, pull ropes along the border to close the bag. SpecificationsReferencemm23.203.05200x35023.203.04300x220x350","Oscualti Nuevos","https://www.francobordo.com/bolsas-de-cuerda-columbus-p-365861.html","https://www.francobordo.com/images/productos/bolsas-de-cuerda-columbus-s26606-365861.jpg","7,20 EUR"
"365860","Cup holder/Can holder COLUMBUS","Mesh bottom for water draining. Fastening with 4 suction cups (included) or with 4 eyelets. Made of 1680 cordura. SpecificationsReferencemmSeatsColour23.202.04140x2102Blue/Grey23.202.14180x3604- Blue/Blue/Grey Wire","Oscualti Nuevos","https://www.francobordo.com/portavasos-porta-latas-columbus-p-365860.html","https://www.francobordo.com/images/productos/portavasos-porta-latas-columbus-s26591-365860.jpg","20,90 EUR"
"365859","COLUMBUS winch handle pouch","Mesh bottom for water draining. Fastening with 4 suction cups included or with 4 eyelets. Made of 1680 cordura. SpecificationsReferencemmColour23.202.03150x280Blue/Grey23.202.13150x280- Blue/Blue/Red thread","Oscualti Nuevos","https://www.francobordo.com/bolsa-para-manivela-de-winche-columbus-p-365859.html","https://www.francobordo.com/images/productos/bolsa-para-manivela-de-winche-columbus-s26594-365859.jpg","21,90 EUR"
"365858","EURO Harness safety harness","Made with soft polyester straps with quick coupling stainless steel buckle. SpecificationsReferenceSizeCE approval23.155.03Children up to 20 kgReg. (EU) 2016/425 - UNI EN ISO 12401:200923.155.02Boys 20/50 kgReg. (EU) 2016/425 - UNI EN ISO 12401:200923.155.01Adults over 50 kgReg. (EU) 2016/425 - UNI EN ISO 12401:2009","Oscualti Nuevos","https://www.francobordo.com/arnes-de-seguridad-euro-p-365858.html","https://www.francobordo.com/images/productos/arnes-de-seguridad-euro-s14692-365858.jpg","60,90 EUR"
"365857","Mast climbing harness","Made of strong nylon/cordura tissue with semi-rigid padded back. Straps in high resistance soft polyester. Specifications Reference Version 23.094.01 Basic model 23.094.02 Model equipped with straps for legs or shoulders. Traction is distributed on the whole body.","Safety > Man Overboard > Harness and Lines of Life","https://www.francobordo.com/arnes-de-escalada-de-mastil-p-365857.html","https://www.francobordo.com/images/productos/arnes-de-escalada-de-mastil-s20444-365857.jpg","59,90 EUR"
"365855","V hull dinghy made of aluminium","Dinghy made of Mehler. Rugged yet lightweight construction. Good performance at low speed. Fitted with oars, inflater and repair kit.Version A: regular bottom with inside or outside V-shaped hull.Version B: double bottom. Flat walking surface and small storage locker on the bottom.At a length of 2.5 m, it is CE certified according to ISO 6185 SpecificationsReferenceVersionLength mWidth mNumber of peopleMax power HPTube diameter cmAir chambersMax load kg.Deflated cmWeight22.660.29A2,901,4937,5423375280x110x504422.670.32B3,201,564+111.2423500300x110x5064","Oscualti Nuevos","https://www.francobordo.com/dinghy-de-casco-v-en-aluminio-p-365855.html","https://www.francobordo.com/images/productos/dinghy-de-casco-v-en-aluminio-s42644-365855.jpg","1.929,00 EUR"
"365854","SV-100 lifejacket - 100N","Made with soft foam, front zipper and quick-release buckle. Complete with whistle and reflective strips. Modular collar for enhanced head protection. Mandatory as onboard equipment within 3 and 6 miles Specifications Reference Colour Size Type 22.483.45 orange Kids up to 15 kg With knickers 22.483.60 orange Kids 15 to 30 kg With knickers","Safety > Life Jackets > Children Life Jacket","https://www.francobordo.com/chaleco-salvavidas-sv-100-100n-p-365854.html","https://www.francobordo.com/images/productos/chaleco-salvavidas-sv-100-100n-en-iso-12402-4-modelo-de-alta-calidad-s26643-365854.jpg","39,90 EUR"
"365853","SV-150 lifejacket - 150N","Made from soft foam with a front zipper. Complete with whistle and reflective strips. Modular collar for enhanced head protection. Specifications Reference Colour Size Type 22.482.45 orange Kids up to 15 kg With knickers 22.482.60 orange Kids 15 to 30 kg With knickers","Safety > Life Jackets > Children Life Jacket","https://www.francobordo.com/chaleco-salvavidas-sv-150-150n-p-365853.html","https://www.francobordo.com/images/productos/chaleco-salvavidas-sv-150-150n-en-iso-12402-3-modelo-de-alta-calidad-s26634-365853.jpg","47,90 EUR"
"365852","AQUA SAILOR buoyancy aid -  50N","Ideal for use on sailboats and canoes. Soft foam, folding bottom for better comfort when sitting. Specifications Reference Colour Size kg 22.476.01 Yellow/Blue Junior From 25 to 40 kg 22.476.02 Yellow/Blue S - 22.476.03 Yellow/Blue M/L Over 60 kg 22.476.04 Yellow/Blue XL -","Safety > Life Jackets > Adult Life Jacket","https://www.francobordo.com/chaleco-salvavidas-aqua-sailor-50n-p-365852.html","https://www.francobordo.com/images/productos/chaleco-salvavidas-aqua-sailor-50n-en-iso-12402-5-s26646-365852.jpg","42,90 EUR"
"365851","DOMINATOR SKI buoyancy aid -  50N (EN ISO 12402-5)","Soft foam, fluo colours, perfect fit. Specifications Reference Variant Size Capacity kg 22.473.01 Fluorescent yellow/black Junior From 25 to 40 kg 22.474.01 Fluorescent red/black Junior From 25 to 40 kg 22.473.02 Fluorescent yellow/black S From 40 to 60 kg 22.474.02 Fluorescent red/black S From 40 to 60 kg 22.473.03 Fluorescent yellow/black M/L Over 60 kg 22.473.04 Fluorescent yellow/black XL Over 70 kg 22.474.03 Fluorescent red/black M/L Over 60 kg 22.474.04 Fluorescent red/black XL Over 70 kg","Safety > Life Jackets > Adult Life Jacket","https://www.francobordo.com/dominator-ski-chaleco-salvavidas-50n-en-iso-12402-5-p-365851.html","https://www.francobordo.com/images/productos/dominator-ski-chaleco-salvavidas-50n-en-iso-12402-5-s26637-365851.jpg","38,90 EUR"
"365850","Isabel lifejacket 100N (EN 12402-4)","Made from high-visibility fabric and soft foam. Complete with approved whistle and reflective tapes.Under-leg cord and adjustable straps with snap buckle. Ergonomic collar. Mandatory as onboard equipment within 3 and 6 miles. Specifications Reference Colour Size Capacity kg Type 22.465.01 orange Baby XXS Up to 15 kg With knickers 22.465.02 orange Baby XS From 15 to 30 kg With knickers 22.465.03 orange S From 30 to 40 kg 22.465.04 orange M From 40 to 50 kg 22.465.05 orange L From 50 to 60 kg 22.465.06 orange XL From 60 to 70 kg 22.465.07 orange XXL Over 70 kg ","Safety > Life Jackets > Adult Life Jacket","https://www.francobordo.com/chaleco-salvavidas-isabel-100n-en-12402-4-p-365850.html","https://www.francobordo.com/images/productos/chaleco-salvavidas-isabel-100n-en-12402-4-s42153-365850.jpg","32,90 EUR"
"365849","Adjustable bracket for ring lifebuoys and installation kit","SpecificationsReferenceDescription22.428.03Square bracket designed for installation of floating rescue light 30.584.01 on item 22.428.01.22.428.01Adjustable SS bracket, bulkhead mounting, designed to hang ring lifebuoys of any size and their type-approved rope.","Oscualti Nuevos","https://www.francobordo.com/soporte-ajustable-para-salvavidas-de-aro-y-kit-de-instalacion-p-365849.html","https://www.francobordo.com/images/productos/soporte-ajustable-para-salvavidas-de-aro-y-kit-de-instalacion-s1743-365849.jpg","38,90 EUR"
"365848","Stainless steel bracket for ring lifebuoys","For ring or horseshoe buoys. Universal model. It can be mounted on the deck, on the bulkhead or on 22/25-mm &Oslash; stainless steel tubes , either straight or sloped by means of a special rotating nylon clamp. Fitted with elastic lock. Standard or accessorized version for floating rescue light 30.584.01. Specifications Reference Model 22.425.00 Ring mount bracket 22.426.01 Back for ring lifebuoys + floating rescue light holder (30.584.00; 30.582.00)","Safety > Man Overboard > Lifebuoys and Supports","https://www.francobordo.com/soporte-de-acero-inoxidable-para-salvavidas-de-aro-p-365848.html","https://www.francobordo.com/images/productos/soporte-de-acero-inoxidable-para-salvavidas-de-aro-3-365848.jpeg","6,65 EUR"
